groupID,subjectID,Type,trialID,P,T_ms,W_ms,Label,Press,Correct,RT_ms,condition_label
1,1,empirical,2,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,3,0,30,300,self,1,1,238.539800004219,"P=0,T=30,W=300"
1,1,empirical,6,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,7,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,9,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,11,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,14,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,16,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,17,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,19,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,21,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,22,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,27,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,28,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,30,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,32,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,35,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,36,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,37,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,39,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,41,0,30,300,stranger,1,1,257.32149999385,"P=0,T=30,W=300"
1,1,empirical,44,0,30,300,self,1,1,278.111999999965,"P=0,T=30,W=300"
1,1,empirical,47,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,48,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,51,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,52,0,30,300,stranger,1,1,234.496999997646,"P=0,T=30,W=300"
1,1,empirical,53,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,55,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,58,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,60,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,62,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,64,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,65,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,67,0,30,300,self,1,0,235.787799996615,"P=0,T=30,W=300"
1,1,empirical,71,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,72,0,30,300,stranger,1,1,289.292500005104,"P=0,T=30,W=300"
1,1,empirical,73,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,76,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,79,0,30,300,stranger,1,0,234.510700000101,"P=0,T=30,W=300"
1,1,empirical,80,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,82,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,84,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,85,0,30,300,self,1,1,330.12079999753,"P=0,T=30,W=300"
1,1,empirical,88,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,91,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,92,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,93,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,96,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,98,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,100,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,101,0,30,300,self,1,1,281.808499996259,"P=0,T=30,W=300"
1,1,empirical,103,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,107,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,108,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,109,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,110,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,115,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,116,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,119,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,120,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,122,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,123,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,125,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,126,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,130,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,131,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,133,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,134,0,30,300,self,1,0,234.495999997307,"P=0,T=30,W=300"
1,1,empirical,137,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,139,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,141,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,1,empirical,144,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,147,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,148,0,30,300,stranger,1,0,234.451799995441,"P=0,T=30,W=300"
1,1,empirical,151,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,1,empirical,152,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
