groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
7,8,1,23,2,practice,1,8,0.1,1.1,square,stranger,j,,NaN,0
7,8,1,23,2,practice,2,8,0.1,1.1,circle,stranger,f,f,0.951520500006154,1
7,8,1,23,2,practice,3,8,0.1,1.1,circle,self,j,j,0.738336500013247,1
7,8,1,23,2,practice,4,8,0.1,1.1,square,self,f,f,0.628204100008588,1
7,8,1,23,2,practice,5,8,0.1,1.1,circle,stranger,f,f,0.932054599979892,1
7,8,1,23,2,practice,6,8,0.1,1.1,circle,self,j,j,0.802112100005616,1
7,8,1,23,2,practice,7,8,0.1,1.1,square,self,f,f,0.692069700016873,1
7,8,1,23,2,practice,8,8,0.1,1.1,square,stranger,j,f,0.850606499996502,0
7,8,1,23,2,formal,9,8,0.1,1.1,circle,stranger,f,f,0.970022199995583,1
7,8,1,23,2,formal,10,8,0.1,1.1,circle,self,j,j,1.03098509999109,1
7,8,1,23,2,formal,11,8,0.1,1.1,square,self,f,f,0.71163279999746,1
7,8,1,23,2,formal,12,8,0.1,1.1,square,stranger,j,j,0.96765599999344,1
7,8,1,23,2,formal,13,8,0.1,1.1,circle,stranger,f,f,0.759761799999978,1
7,8,1,23,2,formal,14,8,0.1,1.1,square,stranger,j,j,1.04891380001209,1
7,8,1,23,2,formal,15,8,0.1,1.1,circle,self,j,j,0.839066099986667,1
7,8,1,23,2,formal,16,8,0.1,1.1,square,self,f,f,0.550536399998236,1
7,8,1,23,2,formal,17,8,0.1,1.1,circle,stranger,f,f,0.758168700005626,1
7,8,1,23,2,formal,18,8,0.1,1.1,circle,self,j,j,0.806613499997184,1
7,8,1,23,2,formal,19,8,0.1,1.1,square,stranger,j,f,1.14433020001161,0
7,8,1,23,2,formal,20,8,0.1,1.1,square,self,f,f,0.934564800001681,1
7,8,1,23,2,formal,21,8,0.1,1.1,circle,stranger,f,f,0.71157359998324,1
7,8,1,23,2,formal,22,8,0.1,1.1,square,self,f,f,0.614516200002981,1
7,8,1,23,2,formal,23,8,0.1,1.1,circle,self,j,j,0.823873100016499,1
7,8,1,23,2,formal,24,8,0.1,1.1,square,stranger,j,j,0.935436700005084,1
7,8,1,23,2,formal,25,8,0.1,1.1,square,self,f,f,0.567316400003619,1
7,8,1,23,2,formal,26,8,0.1,1.1,square,stranger,j,j,0.999432199983858,1
7,8,1,23,2,formal,27,8,0.1,1.1,circle,stranger,f,f,0.791705499985255,1
7,8,1,23,2,formal,28,8,0.1,1.1,circle,self,j,j,0.823974099999759,1
7,8,1,23,2,formal,29,8,0.1,1.1,square,self,f,f,0.999478400015505,1
7,8,1,23,2,formal,30,8,0.1,1.1,circle,stranger,f,f,0.88711029998376,1
7,8,1,23,2,formal,31,8,0.1,1.1,circle,self,j,j,0.792101200000616,1
7,8,1,23,2,formal,32,8,0.1,1.1,square,stranger,j,j,1.03130709999823,1
7,8,1,23,2,formal,33,8,0.1,1.1,circle,stranger,f,f,0.631414400006179,1
7,8,1,23,2,formal,34,8,0.1,1.1,circle,self,j,j,1.04697170000873,1
7,8,1,23,2,formal,35,8,0.1,1.1,square,self,f,f,0.69663859999855,1
7,8,1,23,2,formal,36,8,0.1,1.1,square,stranger,j,,NaN,0
7,8,1,23,2,formal,37,8,0.1,1.1,square,self,f,f,0.829129800025839,1
7,8,1,23,2,formal,38,8,0.1,1.1,square,stranger,j,j,0.695485699980054,1
7,8,1,23,2,formal,39,8,0.1,1.1,circle,stranger,f,f,0.631565999996383,1
7,8,1,23,2,formal,40,8,0.1,1.1,circle,self,j,f,0.967500099999597,0
7,8,1,23,2,formal,41,8,0.1,1.1,circle,self,j,j,0.903680699993856,1
7,8,1,23,2,formal,42,8,0.1,1.1,circle,stranger,f,,NaN,0
7,8,1,23,2,formal,43,8,0.1,1.1,square,self,f,f,0.637668799987296,1
7,8,1,23,2,formal,44,8,0.1,1.1,square,stranger,j,j,0.791686000011396,1
7,8,1,23,2,formal,45,8,0.1,1.1,square,self,f,f,0.870534900022903,1
7,8,1,23,2,formal,46,8,0.1,1.1,circle,stranger,f,f,0.728073499980383,1
7,8,1,23,2,formal,47,8,0.1,1.1,circle,self,j,j,0.614453499991214,1
7,8,1,23,2,formal,48,8,0.1,1.1,square,stranger,j,,NaN,0
7,8,1,23,2,formal,49,8,0.1,1.1,square,stranger,j,j,0.958962600008817,1
7,8,1,23,2,formal,50,8,0.1,1.1,circle,stranger,f,f,0.806622899981448,1
7,8,1,23,2,formal,51,8,0.1,1.1,square,self,f,f,0.711216600000625,1
7,8,1,23,2,formal,52,8,0.1,1.1,circle,self,j,j,0.743085099995369,1
7,8,1,23,2,formal,53,8,0.1,1.1,circle,self,j,,NaN,0
7,8,1,23,2,formal,54,8,0.1,1.1,circle,stranger,f,f,0.845396000018809,1
7,8,1,23,2,formal,55,8,0.1,1.1,square,stranger,j,j,0.966905499983113,1
7,8,1,23,2,formal,56,8,0.1,1.1,square,self,f,f,0.807486000005156,1
7,8,1,23,2,formal,57,8,0.1,1.1,circle,self,j,j,0.742710499995155,1
